CID,Date of Last Certification,Brand,Product,Model Number,Category,Hardware Version,Firmware Version,Operating System,Frequency Band(s),2.4 GHz Spectrum Capabilities,5 GHz Spectrum Capabilities,6 GHz Spectrum Capabilities,Additional Features,CWG-RF,Miracast®,Passpoint®,Protected Management Frames,Spectrum & Regulatory,Sub-1 GHz Spectrum Capabilities,TDLS,Voice-Enterprise,Wi-Fi Aware™,Wi-Fi Agile Multiband™,Wi-Fi CERTIFIED 7™,Wi-Fi CERTIFIED HaLow™,Wi-Fi CERTIFIED WiGig™,Wi-Fi CERTIFIED 6®,Wi-Fi CERTIFIED™ a,Wi-Fi CERTIFIED™ ac,Wi-Fi CERTIFIED™ b,Wi-Fi CERTIFIED™ g,Wi-Fi CERTIFIED™ n,Wi-Fi Data Elements™,Wi-Fi Easy Connect™,Wi-Fi EasyMesh™,Wi-Fi Home Design™,Wi-Fi Location™,Wi-Fi Optimized Connectivity™,Wi-Fi Protected Setup™,Wi-Fi Enhanced Open™,Wi-Fi QoS Management™,Wi-Fi Vantage™,WMM®,WMM®-Admission Control,WMM®-Power Save,WPA2™-Enterprise,WPA2™-Personal,Wi-Fi Direct®,WPA3™-Enterprise,WPA3™-Personal
WFA132231,2024-11-18,H3C,H3C WA7330X WLAN AP with H3C WX Series WLAN Controller,H3C WA7330X WLAN AP,Routers,PCIE,,Comware,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
WFA132038,2024-08-08,ZTE Corporation,"TIM HUB Pro,GPON ONT",ZXHN F6745M,Routers,MT7992AV+MT7975N+MT7979N,,Linux 5.4; Linux 5.4,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes
WFA132219,2024-08-08,Orange,Livebox LB7,PRV36BE347B-H1-LT,Routers,2.4G: PCIe; 5G: PCIe,,Linux 4.19.294; Linux 4.19.294,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
WFA132215,2024-09-30,"ELECOM Co., Ltd.",Enterprise AP,WAB-BE187-M,Routers,v1.0,,Linux 5.4.260,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
WFA132210,2024-08-15,"Kaonbroadband CO., LTD.",PG2380G,PG2380G,Routers,PCIe,,Linux,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
WFA132201,2024-11-22,Vantiva,XER5,XER5,Routers,PCIE,,Linux 5.4,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
WFA132159,2024-08-20,"Kaonbroadband CO., LTD.",AR6445G,AR6445G,Routers,PCIe,,Linux,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
WFA132136,2024-11-08,Zyxel Communications Corporation,Tri-Band Wireless BE18000 10G Ethernet Gateway,EE6510-10,Routers,PCIe,,Linux version 4.19.274,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes
WFA132113,2024-07-30,ZTE Corporation,Router,MC8512,Routers,PCIe,,Linux 5.4.238; Linux 5.4.238,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes
WFA132064,2024-08-05,Nokia Corporation,Nokia WiFi Beacon 19,Beacon 19,Routers,PCIe,,Linux; Linux,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
WFA132062,2024-10-01,"Huawei Technologies Co., Ltd.",Wireless LAN Access Point,AirEngine6776-58TI,Routers,SPI&HSI,,HongMeng,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes
WFA132049,2024-07-26,Fujitsu Client Computing Limited,M.2 Module / FCZSW11E39869-11be,FCZSW11E39869-11be,Other,NGFF,,Windows,2.4 GHz; 5 GHz; 6 GHz,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
WFA132038,2024-07-23,ZTE Corporation,"TIM HUB Pro,GPON ONT",ZXHN F6745M,Routers,MT7992AV+MT7975N+MT7979N,,Linux 5.4,2.4 GHz; 5 GHz,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes
